"Invoice Id","Order Id","Delivery Date","Total Amount","Paid Amount","Balance Amount","Status","Barcode","Customer ID","Customer Name","Customer Phone Number","Invoice Type","Notes","Active"
"U2MZ-1121","1647596460837",,"150","150","0",,"gn11qzkpa344npgfzvzxs7",,,,"cashAndCarry",,true
"46MR-6972","1647597616834","2022-03-19","150","150","0",,"jqnfx36tcsnyrwhf6dro7",118,"march","8523698523","onAccount",,true
"F46M-0003","1647597679769","2022-03-20","7150","7150","0",,"bzi3p3ck7h2l51zapn8pb",118,"march","8523698523","onAccount",,true
"3ZS1-9193","1647597848977",,"550","100","450",,"j4iwz571wrd9d2193wxio",,,,"cashAndCarry",,true
"H9FX-4042","1647601313754",,"6050","6050","0",,"7n2qhwkaupusus6ipf707a",,,,"cashAndCarry",,true
"RTIY-4488","1647682313460",,"550","550","0",,"f2rotf7ivotbt1oji83c4d",,,,"cashAndCarry",,true
"8IH8-8045","1647602127728","2022-03-18","7050","7050","0",,"1v1st0t4iihhrxl9hrimyb",119,"vaishu","1232123212","onAccount",,true
"19OT-9176","1647602208878",,"2050","2050","0",,"3xh35aseqdkh8gxua0duzp",,,,"cashAndCarry",,true
"18Y1-4445","1647602224144",,"550","500","50",,"5r69winj1oklk2ljuprmxo",,,,"cashAndCarry",,true
"OXM9-0226","1647682479450",,"7050","7050","0",,"3q8zfhpwq0743e76yr30vi",,,,"cashAndCarry",,true
"AY15-4877","1647669624083",,"48438","48438","0",,"6unznxy3ejnpi7ebn72eta",,,,"cashAndCarry",,true
"MXLF-8813","1647669628671",,"550","550","0",,"l9uid0yursatq35cvsh4kc",,,,"cashAndCarry",,true
"T780-0354","1647669709703",,"550","55","495",,"e2v71wcdov7eui2nch7vpa",,,,"cashAndCarry",,true
"R9GG-8449","1647669708107",,"7050","7050","0",,"vh6okitq4smey9c2vgpy",,,,"cashAndCarry",,true
"XUGT-8768","1647679568183",,"550","550","0",,"64hfho2q8796ovhhfti3hg",,,,"cashAndCarry",,true
"2Y5M-8013","1647680397423",,"7050","7050","0",,"6g9xxx8xh4jdcfcj85ikzc",,,,"cashAndCarry",,true
"HI1U-8294","1647680627770",,"150","150","0",,"bbwkqguih3rlunblx3g96c",,,,"cashAndCarry",,true
"4D5Z-5630","1647680675005",,"7050","7050","0",,"aopep40lyhcwysipsz0sff",,,,"cashAndCarry",,true
"X0AB-7120","1647680776494",,"150","150","0",,"pf76ihsvo2yu48wului2",,,,"cashAndCarry",,true
"X9PZ-0407","1647680819955",,"7150","7150","0",,"gwz38eciuo9n6mbfazo5go",,,,"cashAndCarry",,true
"XU8Y-2891","1647680862667",,"7050","7050","0",,"a0jxg2ltgmw107yvthlknz",,,,"cashAndCarry",,true
"IR6V-3128","1647680872605",,"7050","7050","0",,"ebwqi0b5npc3js74gtajb",,,,"cashAndCarry",,true
"ZVJL-8452","1647680957699",,"150","150","0",,"dolhedd14mtsdp1b5a02k",,,,"cashAndCarry",,true
"O2AA-7172","1647681036552",,"150","150","0",,"5vqiykqwq0opnyp83slapf",,,,"cashAndCarry",,true
"JTQT-1653","1647681271109",,"150","150","0",,"sqqcoti75ddgaidk4io0zp",,,,"cashAndCarry",,true
"OBFO-4698","1647681773520",,"7050","7050","0",,"z0gbo6igclv283nc6gcso",,,,"cashAndCarry",,true
"YKK8-3336","1647682002480",,"550","550","0",,"cc96vo7b84jg0r50tyy4v",,,,"cashAndCarry",,true
"8LJU-3226","1647682062400",,"150","150","0",,"4i0u4a66v3mzkljnw1ta9",,,,"cashAndCarry",,true
"0CO2-4928","1647682274115",,"550","550","0",,"fp618h7863zt74dejbyx",,,,"cashAndCarry",,true
"HBXT-9132","1647682568533",,"47938","47938","0",,"mk1njmzlyvrlfoygi5lwd8",,,,"cashAndCarry",,true
"KT41-8849","1647682737780",,"550","550","0",,"32dacpyft9k4yfocpmzwx",,,,"cashAndCarry",,true
"XS9P-8089","1647682967230",,"550","550","0",,"x6c6n4v380g69r8mywysgh",,,,"cashAndCarry",,true
"O54N-9603","1647683028744",,"550","550","0",,"6mq3okj37lj2bwk5sxt9nq",,,,"cashAndCarry",,true
"KZIN-2877","1647683472005",,"7050","7050","0",,"g1lea2d16deg77w5tz8h",,,,"cashAndCarry",,true
"1VHG-9659","1647683678982",,"7050","7050","0",,"3a0t7pu40xje98rx7kvxwe",,,,"cashAndCarry",,true
"8X3M-8508","1647683717796",,"150","150","0",,"1dxmnlpu2ddb66ikok6bz9",,,,"cashAndCarry",,true
"YJ21-0787","1647683760262",,"7050","7050","0",,"zj43klb4umnf8npw3gb",,,,"cashAndCarry",,true
"1EMJ-7834","1647683797251",,"550","55","495",,"wkdjcs9ijf243k0gkcmcj",,,,"cashAndCarry",,true
"UHEW-6714","1647683876161",,"7050","705","6345",,"hvhbq5v9kvq6gx3675mpgt",,,,"cashAndCarry",,true
"D5FX-3208","1647684032336",,"550","50","500",,"nw4z24g2wa4orrv4lrxj7",,,,"cashAndCarry",,true
"E8SA-6997","1647684096454",,"7050","7050","0",,"cu8a2umiz5mlodntx3zofp",,,,"cashAndCarry",,true
"8RMC-9796","1647684109116",,"7050","705","6345",,"d0sjuc1kstrhz7a98sqtbb",,,,"cashAndCarry",,true
"RN75-4821","1647684234410",,"550","50","500",,"kqnug5yzap8725adft0427",,,,"cashAndCarry",,true
"5O11-1850","1647684371356",,"7050","750","6300",,"2zfw28gyqp2a6vdjg1day",,,,"cashAndCarry",,true
"8JB8-2718","1647684442167",,"7050","750","6300",,"6i5kvfn1myqkls168066",,,,"cashAndCarry",,true
"1X5P-0782","1647684520286",,"47938","4798","43140",,"e6nzmekbkekl7m3e8o8clr",,,,"cashAndCarry",,true
"S992-1783","1647684650963",,"47938","4793","43145",,"3vq6wc2xbjlui93r8fqdaa",,,,"cashAndCarry",,true
"NGR1-5650","1647684815107",,"7050","705","6345",,"snag7hsfqvk9q8f6f51xpv",,,,"cashAndCarry",,true
"38B3-1320","1647684880830",,"7050","705","6345",,"ykf6jb22ss96s44pua43vb",,,,"cashAndCarry",,true
"5HO4-7525","1647685226576",,"550","55","495",,"rbta18s4jbn5p4uetrw134",,,,"cashAndCarry",,true
"JMWF-3513","1647685512838",,"7050","705","6345",,"tke4xwcrf8dzcyuns66vr",,,,"cashAndCarry",,true
"CWHJ-3577","1647685603075",,"150","10","140",,"k6du0hxwnrpaph35zxqvg",,,,"cashAndCarry",,true
"ZNJY-1770","1647685681273",,"47938","4793","43145",,"gqbxotdkuwgl4vvtx0mtmn",,,,"cashAndCarry",,true
"5CEB-1386","1647685830748",,"550","55","495",,"sya98hdldnssv7xvzez86",,,,"cashAndCarry",,true
"2TL4-5719","1647709194739",,"550","550","0",,"hjsu6pw2c319qdq43i5dd",,,,"cashAndCarry",,true
"CT1E-6909","1647709215706",,"160","16","144",,"96tw7679todj0br0swi8jb",,,,"cashAndCarry",,true
"Y66H-9278","1647710028847",,"7050","7050","0",,"a09a1eadb6ndzdnkkqxnya",,,,"cashAndCarry",,true
"O3ZY-8776","1647710048480",,"150","15","135",,"3abb48cqlkpd4vtlqmznrs",,,,"cashAndCarry",,true
"5CUB-3392","1647835732414",,"4550","600","3950",,"xeikdij8jfqf3bzbwhw2r",,,,"cashAndCarry",,true
"2R2J-7169","1647710876871",,"550","55","495",,"gfvh4h8eowkgzo3bhg5bl",,,,"cashAndCarry",,true
"6O6A-5756","1647710154857",,"7050","775","6275",,"qowzrema1da6qkn4p50ek",,,,"cashAndCarry",,true
"QUGB-6540","1647850986378",,"48088","48088","0",,"z85gmqjyoyan6bag0fe3yd",,,,"cashAndCarry",,true
"6BM8-9410","1647841059280",,"47938","500","47438",,"t8g9vrcv46ts0ou7cfx6d",,,,"cashAndCarry",,true
"E21H-8686","1647841088480",,"160","160","0",,"vjf9y0kb86b5ge3lmay665",,,,"cashAndCarry",,true
"ELZT-3734","1647841133499",,"160","160","0",,"tri5er3eluh6stn8rptgm",,,,"cashAndCarry",,true
"NG0J-3751","1647842033593",,"150","150","0",,"bb0eg6zfp9jad30hvmeo1f",,,,"cashAndCarry",,true
"VP7U-7527","1647842147386",,"150","150","0",,"3lxovayhhqcdlrzu9yveve",,,,"cashAndCarry",,true
"A4X7-2199","1647842191945",,"150","150","0",,"ap70xgie2qtz1ctcvijm",,,,"cashAndCarry",,true
"67ZV-3432","1647603633209","2022-03-18","7150","7150","0",,"yctnr20jaz8tlcogojv75k",117,"Very New Customer","1254639870","onAccount",,true
"JSY8-3672","1647842533415",,"150","150","0",,"zestbmnwimkxl0gro83jfi",,,,"cashAndCarry",,true
"3ZQH-0473","1647842760242",,"150","150","0",,"0g4ryxlke8plx050gr64dg",,,,"cashAndCarry",,true
